,q0001,q0002,q0004_0001,q0004_0002,q0004_0003,q0004_0004,q0004_0005,q0004_0006,q0005,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_0006,q0007_0007,q0007_0008,q0007_0009,q0007_0010,q0007_0011,q0008_0001,q0008_0002,q0008_0003,q0008_0004,q0008_0005,q0008_0006,q0008_0007,q0008_0008,q0008_0009,q0008_0010,q0008_0011,q0008_0012,q0009,q0010_0001,q0010_0002,q0010_0003,q0010_0004,q0010_0005,q0010_0006,q0010_0007,q0010_0008,q0011_0001,q0011_0002,q0011_0003,q0011_0004,q0011_0005,q0012_0001,q0012_0002,q0012_0003,q0012_0004,q0012_0005,q0012_0006,q0012_0007,q0013,q0014,q0015,q0017,q0018,q0019_0001,q0019_0002,q0019_0003,q0019_0004,q0019_0005,q0019_0006,q0019_0007,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0022,q0024,q0025_0001,q0025_0002,q0025_0003,q0026,q0028,q0029,q0030,q0034,q0035,q0036,racethn4,educ4,age3,kids,orientation,weight
194,Not very masculine,Somewhat important,1,0,0,1,0,1,Yes,Sometimes,Rarely,Rarely,Rarely,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,Rarely,"Never, but open to it",Often,0,1,0,1,0,1,0,0,1,1,1,0,"Employed, working part-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,Yes,Yes,Always,It?s the right thing to do,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,1,0,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,Texas,"$50,000-$74,999",West South Central,Android Phone / Tablet,White,Post graduate degree,35 - 64,1,Straight,0.060872912
195,Very masculine,Somewhat important,1,0,0,0,0,1,Yes,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Often,Rarely,"Never, but open to it",Rarely,0,0,0,0,0,0,0,1,1,1,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,1,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,Georgia,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.0749326
196,Somewhat masculine,Somewhat important,1,0,0,1,1,1,No,Sometimes,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Sometimes,Rarely,Rarely,0,0,0,0,1,0,0,0,0,0,0,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,Other (please specify),0,0,0,0,0,1,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,Arizona,"$25,000-$49,999",Mountain,MacOS Desktop / Laptop,White,College or more,65 and up,1,Straight,0.408203209
197,Somewhat masculine,Somewhat important,1,0,0,0,0,0,Yes,Sometimes,Sometimes,"Never, and not open to it",Sometimes,Rarely,Sometimes,"Never, and not open to it",Often,Rarely,Often,Rarely,0,1,0,1,0,0,0,1,1,1,1,0,"Not employed, student",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay",0,0,0,1,1,0,1,0,0,0,0,0,1,0,Divorced,0,1,0,Straight,White,Some college,Mississippi,"$0-$9,999",East South Central,Android Phone / Tablet,White,Some college,35 - 64,1,Straight,0.780180584
198,Very masculine,Somewhat important,0,1,0,0,0,1,Yes,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, but open to it",Often,"Never, and not open to it",Sometimes,Often,"Never, but open to it",Rarely,0,1,1,1,1,0,1,1,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,Confronted the accused person,0,Contacted the manager of the accused person,Reached out to the victim to offer support,0,0,0,0,A lot,No,No,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,1,0,0,0,0,0,0,0,1,0,Married,1,0,0,Straight,White,College graduate,Tennessee,"$50,000-$74,999",East South Central,iOS Phone / Tablet,White,College or more,35 - 64,1,Straight,0.6275903979999999
199,Very masculine,Very important,1,1,1,1,1,0,Yes,Rarely,Rarely,Rarely,Rarely,"Never, but open to it",Often,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Often,0,0,0,0,1,0,0,0,0,1,0,0,"Employed, working full-time",0,Men are taken more seriously,0,0,0,0,0,0,0,Greater risk of being accused of sexual harassment,0,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,Yes,Yes,Always,It?s the right thing to do,You make more money than your date,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay",0,0,0,0,0,0,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,Hispanic,Associate's degree,Texas,"$75,000-$99,999",West South Central,Windows Desktop / Laptop,Hispanic,Some college,35 - 64,1,Straight,1.806316255
200,Not very masculine,Somewhat important,1,0,1,1,1,0,Yes,"Never, but open to it","Never, but open to it",Often,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it",Often,0,1,1,1,1,1,0,1,1,0,1,0,"Not employed, student",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,0,0,1,0,0,0,1,0,Never married,0,0,1,Straight,Hispanic,High school or G.E.D.,California,"$0-$9,999",Pacific,Windows Desktop / Laptop,Hispanic,High school or less,18 - 34,0,Straight,8.643673599
201,Very masculine,Very important,0,0,0,0,1,0,Yes,Sometimes,Sometimes,Rarely,Sometimes,"Never, but open to it",No answer,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Often,0,1,0,0,0,0,0,0,1,0,0,0,"Employed, working part-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,Reached out to the victim to offer support,0,0,0,0,A lot,No,No,Always,It?s the right thing to do,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Separated,0,1,0,Straight,White,Associate's degree,Hawaii,"$100,000-$124,999",Pacific,Windows Desktop / Laptop,White,Some college,65 and up,1,Straight,0.547589263
202,Somewhat masculine,Somewhat important,1,1,1,1,0,0,Yes,Sometimes,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Often,Rarely,Sometimes,0,1,0,1,1,0,0,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,0,0,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay",0,0,0,1,0,0,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,California,"$125,000-$149,999",Pacific,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.059756492
203,Somewhat masculine,Not too important,1,1,1,1,1,0,No,"Never, but open to it",Rarely,Rarely,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Often,Rarely,Rarely,Often,0,1,0,1,0,1,1,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,You make more money than your date,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,1,1,1,1,1,0,0,0,0,1,0,Never married,0,0,1,Straight,White,College graduate,Kentucky,"$200,000+",East South Central,Windows Desktop / Laptop,White,College or more,35 - 64,0,Straight,0.6275903979999999
204,Somewhat masculine,Not too important,1,0,0,0,1,0,No,Sometimes,Rarely,Rarely,Sometimes,"Never, and not open to it","Never, but open to it","Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,1,0,1,0,0,0,"Employed, working part-time",0,0,0,0,0,0,0,Other (please specify),0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,No,Always,0,You make more money than your date,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,0,1,0,0,0,0,0,0,0,1,0,Never married,0,0,1,Straight,White,Post graduate degree,New York,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop,White,Post graduate degree,65 and up,0,Straight,0.069031279
205,Somewhat masculine,Not at all important,1,0,0,0,0,0,Yes,Sometimes,Sometimes,Rarely,"Never, but open to it","Never, but open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Rarely,0,1,0,0,0,0,0,0,0,1,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,0,0,0,0,Contacted the HR department,0,Reached out to the victim to offer support,0,0,0,0,A lot,No,Yes,Often,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Some college,Michigan,Prefer not to answer,East North Central,Android Phone / Tablet,White,Some college,35 - 64,1,Straight,0.639636832
206,Somewhat masculine,Somewhat important,1,1,1,0,0,0,Yes,Rarely,"Never, but open to it","Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Rarely,0,1,0,0,0,0,0,0,1,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Always,It?s the right thing to do,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,Pennsylvania,Prefer not to answer,Middle Atlantic,iOS Phone / Tablet,White,Post graduate degree,65 and up,1,Straight,0.05724395400000001
207,Very masculine,Somewhat important,0,0,1,0,0,0,Yes,Rarely,Sometimes,Sometimes,"Never, and not open to it",Rarely,Rarely,"Never, and not open to it",Often,Often,Sometimes,"Never, and not open to it",0,1,0,0,0,1,0,0,0,0,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,Managers want to hire and promote women,0,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,Did not respond at all,0,0,You weren?t sure it was sexual harassment,Nothing at all,0,Yes,Always,It?s the right thing to do,You make more money than your date,0,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,1,1,1,1,1,0,0,0,0,1,0,Divorced,1,0,0,Straight,Other,Post graduate degree,Arizona,"$200,000+",Mountain,iOS Phone / Tablet,Other,Post graduate degree,35 - 64,1,Straight,0.09284525800000001
208,Very masculine,Not at all important,0,0,0,0,0,1,No,Rarely,"Never, but open to it","Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it","Never, and not open to it",Often,"Never, and not open to it",Rarely,0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working full-time",0,0,0,0,0,0,None of the above,Other (please specify),0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,No,Always,It?s the right thing to do,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Married,1,1,0,Straight,White,Some college,North Dakota,"$150,000-$174,999",West North Central,iOS Phone / Tablet,White,Some college,35 - 64,1,Straight,2.448316358
209,Somewhat masculine,Not too important,1,0,1,1,1,0,Yes,Often,Often,Often,Rarely,"Never, but open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Sometimes,0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working full-time",Men make more money,Men are taken more seriously,0,0,Men are explicitly praised more often,0,0,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,No,No,Often,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,1,1,1,0,1,0,0,0,1,0,Married,1,0,0,Straight,White,Post graduate degree,Massachusetts,"$75,000-$99,999",New England,iOS Phone / Tablet,White,Post graduate degree,35 - 64,1,Straight,0.122829076
210,Very masculine,Not too important,1,1,1,0,1,0,Yes,Rarely,Rarely,Sometimes,Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Rarely,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,0,0,0,0,0,1,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Often,It?s the right thing to do,0,0,0,0,0,Other (please specify),1,0,1,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Some college,California,"$50,000-$74,999",Pacific,Windows Desktop / Laptop,White,Some college,65 and up,1,Straight,0.615179712
211,Somewhat masculine,Not too important,1,0,0,1,1,0,Yes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,"Never, but open to it",Sometimes,Often,"Never, but open to it",Sometimes,0,1,0,0,0,0,0,1,0,0,0,0,"Not employed, looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Often,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,1,0,1,1,0,0,0,0,1,0,Never married,0,0,1,Straight,White,Some college,New York,"$0-$9,999",Middle Atlantic,iOS Phone / Tablet,White,Some college,18 - 34,0,Straight,3.3771086980000002
212,Somewhat masculine,Not too important,0,0,0,0,0,0,Yes,Sometimes,Rarely,Sometimes,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Sometimes,0,1,0,1,0,0,0,0,1,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No answer,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,0,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Some college,Delaware,"$75,000-$99,999",South Atlantic,Android Phone / Tablet,White,Some college,65 and up,1,Straight,0.982487406
213,Very masculine,Very important,1,1,1,0,1,1,Yes,Often,Often,Rarely,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Sometimes,0,1,0,1,0,1,1,1,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,Other (please specify),0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,No answer,Yes,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,0,0,0,0,0,1,0,Married,1,0,0,Straight,White,Some college,Utah,"$25,000-$49,999",Mountain,iOS Phone / Tablet,White,Some college,18 - 34,1,Straight,1.2658653990000002
214,Somewhat masculine,Somewhat important,1,0,0,0,0,0,No,Rarely,"Never, and not open to it","Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",No answer,0,1,0,1,0,0,0,0,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,Yes,No answer,No answer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Married,0,1,0,Straight,White,Post graduate degree,Texas,Prefer not to answer,West South Central,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.059076967
215,Not at all masculine,Not at all important,1,1,1,0,0,0,No,Rarely,"Never, but open to it","Never, and not open to it",No answer,"Never, and not open to it",No answer,"Never, and not open to it",Sometimes,"Never, but open to it","Never, and not open to it","Never, but open to it",0,1,1,0,0,0,0,0,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Only a little,No,Yes,Always,0,0,0,0,0,0,Other (please specify),1,1,1,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,High school or G.E.D.,Rhode Island,"$75,000-$99,999",New England,Windows Desktop / Laptop,White,High school or less,35 - 64,1,Straight,2.52429114
216,Somewhat masculine,Not at all important,1,1,0,0,0,0,No,"Never, and not open to it","Never, but open to it","Never, but open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, but open to it",Rarely,0,0,0,0,0,0,1,0,1,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,California,"$75,000-$99,999",Pacific,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.059756492
217,Very masculine,Somewhat important,1,1,1,0,1,1,Yes,Sometimes,Sometimes,Often,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Sometimes,"Never, but open to it",Rarely,0,1,0,0,0,0,0,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,You make more money than your date,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,1,1,1,1,0,0,0,0,1,0,Married,1,1,0,Straight,White,Post graduate degree,California,"$125,000-$149,999",Pacific,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.059756492
218,Somewhat masculine,Not too important,1,0,0,0,0,0,Yes,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Sometimes,0,1,0,0,0,0,0,0,0,1,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Nothing at all,0,Yes,Sometimes,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,Divorced,0,1,0,Straight,White,College graduate,Oregon,"$25,000-$49,999",Pacific,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.470628361
219,Very masculine,Somewhat important,1,1,1,0,1,1,No,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Often,Rarely,Rarely,0,1,0,0,0,0,0,0,1,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Often,0,0,0,0,0,0,Other (please specify),0,1,0,0,0,1,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,Minnesota,Prefer not to answer,West North Central,Windows Desktop / Laptop,White,College or more,65 and up,1,Straight,0.529114239
220,Not very masculine,Not at all important,1,0,0,1,0,0,Yes,Rarely,Sometimes,Often,Rarely,"Never, and not open to it","Never, and not open to it",Often,"Never, and not open to it","Never, and not open to it",Sometimes,Sometimes,0,1,0,1,0,0,1,0,0,0,0,0,"Employed, working full-time",0,Men are taken more seriously,0,0,Men are explicitly praised more often,0,0,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,0,Other (please specify),0,A lot,No,Yes,Sometimes,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Married,0,0,1,Gay,White,College graduate,Washington,"$100,000-$124,999",Pacific,Windows Desktop / Laptop,White,College or more,35 - 64,0,Gay/Bisexual,0.386064126
221,Very masculine,Very important,0,1,0,0,0,0,No,Rarely,Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Often,Rarely,"Never, but open to it",Rarely,0,0,0,0,0,0,0,0,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,Contacted the HR department,0,Reached out to the victim to offer support,0,0,0,0,A lot,No,No,Often,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,1,0,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Associate's degree,Florida,"$125,000-$149,999",South Atlantic,Windows Desktop / Laptop,White,Some college,35 - 64,1,Straight,0.656781403
222,Very masculine,Somewhat important,1,1,1,0,1,0,Yes,Rarely,Rarely,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,0,0,0,0,0,0,0,1,1,0,0,0,"Employed, working part-time",Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,0,Men generally have more support from their managers,0,0,0,Greater risk of being accused of sexual harassment,0,0,0,0,Contacted the HR department,0,0,0,0,Other (please specify),0,A lot,No,No,Often,0,You make more money than your date,You feel good about being the one who pays,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,Indiana,"$50,000-$74,999",East North Central,Android Phone / Tablet,White,Post graduate degree,65 and up,1,Straight,0.059086640999999995
223,Somewhat masculine,Somewhat important,1,0,0,0,0,0,Yes,Sometimes,Rarely,Rarely,No answer,"Never, but open to it",Often,"Never, and not open to it",Often,Rarely,"Never, and not open to it",Rarely,0,1,0,0,0,0,0,0,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,0,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,No,No,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,0,0,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,Virginia,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.608994519
224,Somewhat masculine,Somewhat important,0,0,0,0,0,1,No,Sometimes,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Often,Often,"Never, but open to it",Rarely,0,0,0,0,0,0,0,0,1,0,0,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Often,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,1,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,High school or G.E.D.,Michigan,"$25,000-$49,999",East North Central,Windows Desktop / Laptop,White,High school or less,65 and up,1,Straight,1.873498326
225,Somewhat masculine,Somewhat important,1,1,1,0,0,0,Yes,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,"Never, and not open to it",Rarely,Sometimes,Often,Sometimes,0,1,0,1,0,0,1,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Always,0,0,0,0,0,0,Other (please specify),0,0,0,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,Maryland,"$175,000-$199,999",South Atlantic,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.076678628
226,Very masculine,Somewhat important,1,1,0,0,0,1,Yes,Rarely,Rarely,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it","Never, and not open to it",0,1,0,0,0,0,0,0,0,0,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,No,Often,It?s the right thing to do,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Married,1,0,0,Straight,Hispanic,Some college,Florida,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,Hispanic,Some college,18 - 34,1,Straight,6.293930292000001
227,Somewhat masculine,Not too important,1,1,1,1,1,0,No,Sometimes,Sometimes,Often,"Never, but open to it","Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,Often,Rarely,Rarely,0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,Confronted the accused person,0,0,0,0,0,0,0,A lot,Yes,Yes,Always,0,0,0,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,1,1,0,0,0,1,1,Divorced,0,1,0,Straight,White,Some college,Washington,"$175,000-$199,999",Pacific,Windows Desktop / Laptop,White,Some college,35 - 64,1,Straight,0.476678339
228,Somewhat masculine,Somewhat important,1,0,0,0,0,0,Yes,Sometimes,Sometimes,Rarely,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Rarely,Rarely,"Never, and not open to it",Rarely,0,1,1,0,1,0,1,1,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,Contacted the HR department,Contacted the manager of the accused person,0,0,0,0,0,A lot,No,No,Always,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,1,0,1,1,0,1,1,0,0,1,Married,0,1,0,Straight,White,College graduate,Illinois,"$25,000-$49,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.593337833
229,Somewhat masculine,Somewhat important,0,0,0,0,1,0,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,1,0,0,0,0,0,0,0,0,0,0,"Employed, working full-time",Men make more money,0,0,0,0,0,0,0,Managers want to hire and promote women,0,0,0,0,0,0,Contacted the manager of the accused person,0,0,0,0,0,Only a little,No,No,Never,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Never married,0,0,1,Straight,White,Post graduate degree,New York,"$50,000-$74,999",Middle Atlantic,Windows Desktop / Laptop,White,Post graduate degree,35 - 64,0,Straight,0.070309782
230,Very masculine,Somewhat important,1,0,0,0,1,1,Yes,"Never, but open to it","Never, but open to it",Sometimes,"Never, but open to it","Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it","Never, but open to it",0,1,0,0,0,0,0,0,0,0,0,0,"Employed, working part-time",0,Men are taken more seriously,0,0,0,0,0,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Nothing at all,0,Yes,Always,It?s the right thing to do,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Associate's degree,Illinois,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,Some college,65 and up,1,Straight,0.7130515059999999
231,Very masculine,Very important,1,0,0,0,0,0,No,Often,"Never, and not open to it",Often,Often,Sometimes,"Never, and not open to it",Often,"Never, and not open to it","Never, and not open to it","Never, and not open to it","Never, and not open to it",0,1,0,0,0,0,0,0,0,0,0,0,"Not employed, student",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Rarely,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Divorced,1,0,0,Gay,Asian,College graduate,Louisiana,"$200,000+",East North Central,Windows Desktop / Laptop,Other,College or more,18 - 34,1,Gay/Bisexual,3.2487460489999997
